#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
## Generic strings;;;;;;;;;;;X
##;;;;;;;;;;;X
EVT_40453_NAME;2011 Italian election;;;;;;;;;;X
EVT_40453_DESC;Elections are held in Italy today. Which party wins?;;;;;;;;;;X
EVT_62501_NAME;Sindh floods;;;;;;;;;;X
EVT_62501_DESC;In July and August 2003 southern Pakistan, namely the Sindh province, has been struck by floods resulting from excessive monsoon rains. Tens of thousands were forced to leave their homes.;;;;;;;;;;X
EVT_62502_NAME;Musharraf's vote of confidence;;;;;;;;;;X
EVT_62502_DESC;President Musharraf today won a vote of confidence from the electoral college, obtaining 658 votes out of 1170, and is deemed to be elected to the office of President.;;;;;;;;;;X
EVT_62503_NAME;Trade agreement with Pakistan;;;;;;;;;;X
EVT_62503_DESC;The European Parliament is today voting about a new trade and cooperation deal with Pakistan.;;;;;;;;;;X
EVT_62504_NAME;Trade agreement with the EU;;;;;;;;;;X
EVT_62504_DESC;The European Parliament has today voted in favor of a new trade and cooperation deal with Pakistan.;;;;;;;;;;X
EVT_62505_NAME;Commonwealth suspension lifted;;;;;;;;;;X
EVT_62505_DESC;The Commonwealth Ministerial Action Group has made a decision today to lift Pakistan's suspension from the organization.;;;;;;;;;;X
EVT_62506_NAME;2005 Kashmir earthquake;;;;;;;;;;X
EVT_62506_DESC;The 2005 Kashmir Earthquake was a major earthquake centred in Pakistan-administered Kashmir and in North West Frontier Province. It occurred at 08:50:38 Pakistan Standard Time on 8 October 2005. A total of 74,000 people were killed with over 100,000 injured. Over 3 million people in Pakistan were left homeless.;;;;;;;;;;X
EVT_62507_NAME;Major power breakdown;;;;;;;;;;X
EVT_62507_DESC;A major blackout happened in Pakistan today. All power grids in different parts of the country failed at once this afternoon which was regarded by the power officials as the first-ever incident of its kind in Pakistan's history. One grid after another tripped triggering panic among officials. Even though it was determined that the failure was due to a technical fault, rumors of a coup appeared amongst the population.;;;;;;;;;;X
EVT_62508_NAME;60th Anniversary of Independence;;;;;;;;;;X
EVT_62508_DESC;Pakistan today marks the 60th anniversary of independence from the United Kingdom and its creation on August 14, 1947. Later in the day a minute's silence commemorated hundreds of thousands of people who died in rioting when Pakistan was carved out of British India.;;;;;;;;;;X
EVT_62509_NAME;Presidential elections announced;;;;;;;;;;X
EVT_62509_DESC;Election Commission of Pakistan has announced to hold presidential elections on October 6. President General Pervez Musharraf has said he will give up his post of army chief if he is re-elected for another term.;;;;;;;;;;X
EVT_62510_NAME;Musharraf confirmed as candidate;;;;;;;;;;X
EVT_62510_DESC;Election officials in Pakistan have approved President Pervez Musharraf's nomination for re-election, despite efforts to have him disqualified. The election commission approved Gen Musharraf and two rivals to contest the 6 October poll.;;;;;;;;;;X
EVT_62511_NAME;Pakistan MPs boycott;;;;;;;;;;X
EVT_62511_DESC;Scores of opposition MPs have today resigned from Pakistan's national parliament and provincial assemblies in protest at Saturday's presidential election. They insist that President Pervez Musharraf is ineligible to stand. The parliament will now have to function without opposition.;;;;;;;;;;X
EVT_62512_NAME;Musharraf wins the vote;;;;;;;;;;X
EVT_62512_DESC;General Pervez Musharraf has easily won a vote to be re-elected Pakistan's president, even though it is unclear if his candidacy was legal. He won all but five of the votes cast in parliament's two houses and swept the ballots in the four provincial assemblies, election officials said. Opposition MPs abstained or boycotted the vote, calling it unconstitutional.;;;;;;;;;;X
EVT_62513_NAME;Karachi bombing;;;;;;;;;;X
EVT_62513_DESC;The Karachi bombing of October 18, 2007 in Karachi, Pakistan, was an attack on a motorcade carrying former Prime Minister Benazir Bhutto, who returned to Pakistan after an eight-year self-imposed exile during which she lived in Dubai and London. The bombing resulted in at least 139 deaths and 450 injuries. Most of the dead were members of the Pakistan Peoples Party (PPP).;;;;;;;;;;X
EVT_62514_NAME;State of emergency;;;;;;;;;;X
EVT_62514_DESC;The Supreme Court of Pakistan is soon to reach a decision whether Pervez Musharraf was eligible to stand at the previous presidential election and it is likely that the decision will be against Musharraf. Meanwhile the country plunges into chaos as extremist violence continues...;;;;;;;;;;X
EVT_62515_NAME;Musharraf resigns as Chief of Army Staff;;;;;;;;;;X
EVT_62515_DESC;Today President Musharraf resigned as Chief of Army Staff. Ashfaq Parvez Kayani was appointed as his successor.;;;;;;;;;;X
EVT_62516_NAME;State of emergency ends;;;;;;;;;;X
EVT_62516_DESC;On December 15 President Musharraf cancelled the state of emergency, with an announcement that the election of 2008 would be postponed.;;;;;;;;;;X
EVT_62517_NAME;Assassination of Benazir Bhutto;;;;;;;;;;X
EVT_62517_DESC;Benazir Bhutto was a Pakistani politician who chaired the Pakistan Peoples Party (PPP), a centre-left political party in Pakistan. Bhutto was the first woman elected to lead a Muslim state, having twice been Prime Minister of Pakistan. Bhutto returned to Pakistan on October 18,2007, after reaching an understanding with President Pervez Musharraf by which she was granted amnesty and all corruption charges were withdrawn. She was assassinated on December 27,2007, after departing a PPP rally in the Pakistani city of Rawalpindi, two weeks before the scheduled Pakistani general election of 2008 where she was a leading opposition candidate.;;;;;;;;;;X
EVT_62801_NAME;Zafarullah Khan Jamali resigns;;;;;;;;;;X
EVT_62801_DESC;Pakistani PM Zafarullah Khan Jamali resigned today. Shaukat Aziz replaced him as Prime Minister.;;;;;;;;;;X
EVT_62802_NAME;Muhammad Aziz Khan resigns;;;;;;;;;;X
EVT_62802_DESC;Pakistani Chief of Staff Muhammad Aziz Khan retired today from active military service. Ehsan ul Haq was appointed as his successor.;;;;;;;;;;X
EVT_62803_NAME;Muhammad Aziz Khan resigns;;;;;;;;;;X
EVT_62803_DESC;Pakistani Chief of Staff Muhammad Aziz Khan retired today from active military service. Ehsan ul Haq was appointed as his successor.;;;;;;;;;;X
EVT_62951_NAME;Pakistani general election 2008;;;;;;;;;;X
EVT_62951_DESC;General election are held in Pakistan today. Which party wins?;;;;;;;;;;X
EVT_37047_NAME;Alliance with India;;;;;;;;;;X
EVT_37047_DESC;China and India have fought a brief war in 1962, and since then they have been rivals competing for strategic influence in Asia. In our current situation we could use this to our advantage and gain an important ally in Asia. India is fearful of Chinese expansionism and our advisors suggest that we initiate secret negotiations with them about a potential alliance against China. Since they are encircled by Shanghai Pact powers getting them to the negotiating table shouldn't be that hard.;;;;;;;;;;X
EVT_37048_NAME;USA offer an alliance;;;;;;;;;;X
EVT_37048_DESC;The United States have approached us by using secret channels through their embassy in Delhi. The offer was quite dazzling to our officials - they offer us a military alliance against China in return for military and economic help. In the present situation that would effectively mean war between India and China and the urgency of the request suggests the Americans are in search for every ally they can get. The rapid developments so far make it probable that we will have to make our decision quickly in the following days.;;;;;;;;;;X
EVT_37049_NAME;US-Indian negotiations;;;;;;;;;;X
EVT_37049_DESC;Urgent news from our intelligence agencies: it seems that the United States have approached India by using secret channels through their embassy in Delhi. It is not difficult to conclude that the offer is about a military alliance against us in return for US military and economic help to India. The urgency of the request suggests the Americans are in search for every ally they can get. The rapid developments so far make it probable that India will have to make its decision quickly in the following days. Therefore our High Command has begun preparations for a war against China, including the possibility of a pre-emptive strike.;;;;;;;;;;X
EVT_37050_NAME;India at the crossroads;;;;;;;;;;X
EVT_37050_DESC;The time has come to make our decision. War with China would be an enormous strain and the biggest test India has faced since achieving independence, but victory would bring an enormous boost to India's position in the world and perhaps rank us as one of the top superpowers. Hawks within the government request that we ask American blessing to reclaim Tibet, which has been under Chinese occupation since 1950.;;;;;;;;;;X
EVT_37051_NAME;India claims Tibet;;;;;;;;;;X
EVT_37051_DESC;Our intelligence service reports India is dangerously close to accepting the American offer. Not only that, but they have also requested American consent about their claim on Tibet!;;;;;;;;;;X
EVT_37052_NAME;India claims Tibet;;;;;;;;;;X
EVT_37052_DESC;India has stated their acceptance with our offer, but with only one demand - that we recognize their claim on Tibet.;;;;;;;;;;X
EVT_37053_NAME;2nd Sino-Indian war begins;;;;;;;;;;X
EVT_37053_DESC;India has stated they will accept our offer but with only one demand - that we recognize their claim on Tibet. However, in a surprise move this morning China has initiated a full-scale offensive against India. Dubbed by their officials as a 'pre-emptive strike against Indian intentions of conquering Tibet', it is the largest land operation in Asia so far in the war. It is obvious that USA and India are allies now, despite possible differences over Tibet. These will have to be resolved after the war ends...;;;;;;;;;;X
EVT_37054_NAME;2nd Sino-Indian war begins;;;;;;;;;;X
EVT_37054_DESC;Bad news! In a surprise move this morning, China has initiated a full-scale offensive against us. Dubbed by their officials as a 'pre-emptive strike against Indian intentions of conquering Tibet', it is the largest land operation in Asia so far in the war. It is obvious that the USA and India are allies now, despite possible differences over Tibet. These will have to be resolved after the war ends...;;;;;;;;;;X
EVT_7008_NAME;Russia-Belarus energy dispute;;;;;;;;;;X
EVT_7008_DESC;According to our state-owned pipeline company Transneft, Belarus is siphoning the oil off the pipe without mutual agreement. Our advisors suggest that we use this oppurtunity to force Belarus to pay its remaining gas debt to us.;;;;;;;;;;X
EVT_7009_NAME;Russia-Belarus energy dispute;;;;;;;;;;X
EVT_7009_DESC;Russians have discovered that we have been siphoning the oil off the pipelines without mutual consent. As a result they have cut off gas supplies to us. The gas flow will be restored once we agree to a new tariff.;;;;;;;;;;X
EVT_7010_NAME;Gazprom ultimatum;;;;;;;;;;X
EVT_7010_DESC;Russian gas company Gazprom issued us an ultimatum - either we pay our debt to them, or they cut our gas supplies by 45 percent.;;;;;;;;;;X
EVT_7011_NAME;Belarus pays the debt;;;;;;;;;;X
EVT_7011_DESC;Belarus has finally agreed to pay off their remaining debt to Gazprom.;;;;;;;;;;X
EVT_7301_NAME;2004 Belarusian referendum;;;;;;;;;;X
EVT_7301_DESC;On October 17,2004, a referendum was held in Belarus in which President Lukashenko was given the possibility of competing for another term as President.;;;;;;;;;;X
EVT_7302_NAME;Novitsky dismissed;;;;;;;;;;X
EVT_7302_DESC;On July 2003 Prime Minister of Belarus Gennady Novitsky was dismissed. He was replaced by Sergey Sidorsky.;;;;;;;;;;X
EVT_7451_NAME;2006 Belarusian presidential election;;;;;;;;;;X
EVT_7451_DESC;The elections for the position of president of Belarus took place on March 19, 2006. The winner, as always, was incumbent President Lukashenko.;;;;;;;;;;X
EVT_1001_NAME;2003 Boumerdes Earthquake;;;;;;;;;;X
EVT_1001_DESC;The 2003 Boumerdes earthquake occurred on May 21, 2003 in northern Algeria. The epicentre of the earthquake was located at the town of Thénia in Boumerdès Province, approximately 60 km east of the capital Algiers. The quake was the strongest to hit Algeria in more than twenty years since 1980, when a magnitude 7.3 earthquake resulted in 3,500 deaths.;;;;;;;;;;X
EVT_1002_NAME;2004 Pan Arab Games;;;;;;;;;;X
EVT_1002_DESC;The 10th Pan Arab Games took place in Algiers, Algeria, September 24 - October 10, 2004. it witnessed the participation of all Arab League Members for the first time, 22 countries participated in 26 sports. Algeria took first place with 91 gold, 89 silver and 87 bronze, adding up to a total of 171 medals with a landslide victory.;;;;;;;;;;X
EVT_1003_NAME;Islamic studies in secondary school curriculum;;;;;;;;;;X
EVT_1003_DESC;Drop Islamic Studies from the secondary school curriculum?;;;;;;;;;;X
EVT_1004_NAME;Moroccan journalists request entry;;;;;;;;;;X
EVT_1004_DESC;Four Moroccan journalists from the Moroccan Sahara Foundation (a non-governmental organisation) have requested entry in regard to Algeria-Morocco tensions over the Western Sahara.;;;;;;;;;;X
EVT_1005_NAME;Algiers bombings;;;;;;;;;;X
EVT_1005_DESC;The 2007 Algiers bombings occurred on April 11, 2007 when two suicide car bombs exploded in the Algerian capital Algiers. The headquarters of the Algerian prime minister were hit by a large explosion that left many people dead and injured and could be heard 10 km away. Another explosion targeted a police station in an eastern suburb of the city, near the international airport. Al Qaida claimed responsibility. ;;;;;;;;;;X
EVT_1006_NAME;Mustapha Kartali wounded;;;;;;;;;;X
EVT_1006_DESC;Former Islamist guerrilla leader Mustapha Kartali is wounded by a car bomb in Larba, Algeria.;;;;;;;;;;X
EVT_1007_NAME;Dellys naval Barracks car bomb;;;;;;;;;;X
EVT_1007_DESC;At least 16 people are killed and 30 injured in a car bomb attack on an Algerian naval barracks in the town of Dellys, 100km east of Algiers.;;;;;;;;;;X
EVT_1008_NAME;Batna bombing;;;;;;;;;;X
EVT_1008_DESC;The 2007 Batna bombing took place on September 6, 2007 in Batna, a town in Batna Province, eastern Algeria. The bombing, which took place shortly before the visit of Algerian President Abdelaziz Bouteflika, resulted in approximately 15-20 deaths and 107 injuries as the bomber detonated his device among a crowd waiting to see the President, who was at the end of a three-day tour of eastern Algeria.;;;;;;;;;;X
EVT_1009_NAME;Abdelhamid Sadoui killed;;;;;;;;;;X
EVT_1009_DESC;Algerian army kills Abdelhamid Sadaoui, the alleged treasurer of al-Qaeda in North Africa, in Tizi Ouzou, Kabylia province.;;;;;;;;;;X
EVT_1010_NAME;Algiers bombings;;;;;;;;;;X
EVT_1010_DESC;There were two near simultaneous bombings in Algiers which occurred on 11 December 2007 when two car bombs exploded 10 minutes apart starting at around 9:30 a.m. local time, in the Algerian capital Algiers. The al-Qaeda Organization in the Islamic Maghreb has claimed responsibility for the attacks.;;;;;;;;;;X
EVT_1011_NAME;Intervention in Beriane;;;;;;;;;;X
EVT_1011_DESC;Hundred of Algerian security forces intervened in Beriane, Algeria following three nights of clashes between Arabs and minority Berbers. 2 people were killed and dozens made homeless after violence involving rival gangs of hooded young men in the town of about 35,000.;;;;;;;;;;X
EVT_1012_NAME;Bordj El Kiffan suicide attack;;;;;;;;;;X
EVT_1012_DESC;A suicide attack occurred in Bordj El Kiffan, eastern Algiers, in front of the main entrance of the Republican Guards barracks. Nearby a bomb exlpoded inside a cafe'. One person was killed and many others were injured. Observers suspected the two incidents were the work of Al Quaeda in the Islamic Maghreb A thirty-year-old man carried a bomb belt to the barracks near Matares Beach.;;;;;;;;;;X
EVT_1013_NAME;Beni Amrane train bombs;;;;;;;;;;X
EVT_1013_DESC;Thirteen people were killed at a train station in Beni Amrane when two bombs exploded in a train station about sixty miles east of Algiers. The explosives were triggered by a remote control device. The first bomb killed at least two people, including a French citizen who was repairing the station's rails. He was in the process of leaving the area in a car.;;;;;;;;;;X
EVT_1014_NAME;Sonatrach workers threaten with strike;;;;;;;;;;X
EVT_1014_DESC;Production workers at Sonatrach threaten an indefinite strike  if their demands for wage increases and other grievances are not met.;;;;;;;;;;X
EVT_1015_NAME;Palestinian tax exemption agreement;;;;;;;;;;X
EVT_1015_DESC;Algerian and Palestinian authorities signed a tax exemption agreement in Algiers which favors Palestinian products in a resolution to support the Palestinian economy.;;;;;;;;;;X
EVT_1016_NAME;Car bomb in Tizi Ouzou;;;;;;;;;;X
EVT_1016_DESC;The North African wing of Al Qaeda claimed responsibility for a car bomb which wounded 25 people, including 4 policemen, in Tizi Ouzou. The bomb exploded near a police station. Al Qaeda in the Islamic Maghreb identified the bomber as Makhlouf Abou Mariam. His truck carried 600 kg. of an unspecified explosive.;;;;;;;;;;X
EVT_1017_NAME;Threefold attacks;;;;;;;;;;X
EVT_1017_DESC;The North African branch of Al Qaeda claimed responsibility for attacks on a police academy, a military barracks, and a Canadian engineering firm. These were retaliatory actions against security forces which had killed a number of young Mujahedeen or holy warriors. Salah Abu Mohammad, an Al Qaeda spokesman, delivered a taped message to the Al Jazeera news channel. The attacks claimed up to sixty lives in Algeria.;;;;;;;;;;X
EVT_1018_NAME;Suicide bombing in Dellys;;;;;;;;;;X
EVT_1018_DESC;A suicide bomber killed three people and injured six in the Dellys area of Boumerdes on Sunday, September 28. The region is thirty miles east of Algiers. The incident occurred at a checkpoint during Iftar;;;;;;;;;;X
EVT_1019_NAME;Term limit abolition;;;;;;;;;;X
EVT_1019_DESC;Algerian president Bouteflika proposed a plan to change the constitution in order to abolish presidential term limits. Opposition parties attacked the plan to change the constititution, while the Berber opposition denounced the parliamentary vote as a hold up. Prime Minister said that the amendment would likely be passed and that a presidential election is likely to be held in April 2009.;;;;;;;;;;X
EVT_1301_NAME;Ali Benflis sacked;;;;;;;;;;X
EVT_1301_DESC;Algerian Prime Minister Ali Benflis was sacked in May 2003 due to a dispute with President Bouteflika. Ahmed Ouyahia was appointed as his successor.;;;;;;;;;;X
EVT_1302_NAME;Ouyahia resigns;;;;;;;;;;X
EVT_1302_DESC;Algerian Prime Minister Ahmed Ouyahia resigned in May 2006 due to political arguments between Ouyahia's political party and President Bouteflika's political party, the FLN. Abdelaziz Belkhadem was appointed as his successor.;;;;;;;;;;X
EVT_1351_NAME;2007 Algerian legislative election;;;;;;;;;;X
EVT_1351_DESC;Legislative elections were held in Algeria on 17 May 2007. 24 political parties and around 100 independent lists with a total of more than 12,000 candidates competed for the 389 seats in the National People's Assembly. National Liberation Front won most of the votes, and as a result of the elections Algerian Prime Minister Abdelaziz Belkhadem resigned. He was succeeded by Ahmed Ouyahia.;;;;;;;;;;X
EVT_1352_NAME;2004 Algerian presidential election;;;;;;;;;;X
EVT_1352_DESC;Presidential elections were held in Algeria on April 8, 2004. The incumbent president, Abdelaziz Bouteflika, was re-elected with 85.0 percent of the vote.;;;;;;;;;;X
EVT_1021_NAME;Islamist demonstrations against the US;;;;;;;;;;X
EVT_1021_DESC;The U.S. attack on Iran has not been accepted well amongst our society. Today in Algiers, large protests were held against the 'evil US imperialism'. The crowd called for the President to resign, and for the establishment of an islamist state in Algeria. Protesters clashed with the police and the conflict resulted in several dosen wounded and arrested.;;;;;;;;;;X
EVT_1022_NAME;Fundamentalist revolution in Algeria;;;;;;;;;;X
EVT_1022_DESC;What has been feared by some has happened today: an islamist coup d'etat in Algeria! The President was killed in a bomb blast while returning from a reception at the US embassy. A well-organized group of islamist militants, led by former members of the banned Islamic Action Front and supported by Al-Qaeda and some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Algeria is now in fundamentalist hands...;;;;;;;;;;X
EVT_1026_NAME;Algeria joins ECON;;;;;;;;;;X
EVT_1026_DESC;After several weeks of negotiations, Algeria has finally agreed to join our military alliance.;;;;;;;;;;X
EVT_17001_NAME;Shenzhou 5 launched;;;;;;;;;;X
EVT_17001_DESC;Today the first Chinese manned spaceflight mission, named 'Shenzhou 5' began. The Shenzhou spacecraft was launched on a Long March 2F rocket booster from Jiuquan Satellite Launch Center, a launch base in the Gobi Desert in Gansu Province, entering orbit 343 km above Earth at 09:10 this morning with astronaut Yang Liwei, the 38 year-old Lieutenant Colonel in the People's Liberation Army and former fighter pilot. It made 14 orbits and landed 21 hours after launch.;;;;;;;;;;X
EVT_17002_NAME;Right to provate property reintroduced;;;;;;;;;;X
EVT_17002_DESC;Today the standing committee of the Chinese parliament, the National People's Congress, considers a constitutional amendment that would take the country further from its centrally planned and publicly owned economy by introducing private ownership of land for the first time since 1949.;;;;;;;;;;X
EVT_17003_NAME;Peace Mission 2005;;;;;;;;;;X
EVT_17003_DESC;Today Peace Mission begins, the first ever joint military exercise between Russia and China. It will consist of combined land, sea, and air elements simulating an intervention in a state besieged by terrorists or political turmoil. The force will practice air and naval blockades, an amphibious assault and occupying a region. Approximately 8,000 Chinese troops will take part along with 2,000 Russian troops.;;;;;;;;;;X
EVT_17004_NAME;Peace Mission 2005;;;;;;;;;;X
EVT_17004_DESC;Today Peace Mission begins, the first ever joint military exercise between Russia and China. It will consist of combined land, sea, and air elements simulating an intervention in a state besieged by terrorists or political turmoil. The force will practice air and naval blockades, an amphibious assault and occupying a region. Approximately 8,000 Chinese troops will take part along with 2,000 Russian troops.;;;;;;;;;;X
EVT_17005_NAME;Peace Mission 2005;;;;;;;;;;X
EVT_17005_DESC;Today Peace Mission begins, the first ever joint military exercise between Russia and China. It will consist of combined land, sea, and air elements simulating an intervention in a state besieged by terrorists or political turmoil. The force will practice air and naval blockades, an amphibious assault and occupying a region. Approximately 8,000 Chinese troops will take part along with 2,000 Russian troops. China initially wanted to hold the exercise near the Taiwan Strait, Russia wanted to hold the exercise in Northwestern China near central Asia, but instead settlement was made on the Shandong Peninsula.;;;;;;;;;;X
EVT_17006_NAME;Peace Mission 2005;;;;;;;;;;X
EVT_17006_DESC;Today Peace Mission begins, the first ever joint military exercise between Russia and China. It will consist of combined land, sea, and air elements simulating an intervention in a state besieged by terrorists or political turmoil. The force will practice air and naval blockades, an amphibious assault and occupying a region. Approximately 8,000 Chinese troops will take part along with 2,000 Russian troops. China initially wanted to hold the exercise near the Taiwan Strait, Russia wanted to hold the exercise in Northwestern China near central Asia, but instead settlement was made on the Shandong Peninsula.;;;;;;;;;;X
EVT_17007_NAME;Peace Mission 2005;;;;;;;;;;X
EVT_17007_DESC;Today Peace Mission begins, the first ever joint military exercise between Russia and China. It will consist of combined land, sea, and air elements simulating an intervention in a state besieged by terrorists or political turmoil. The force will practice air and naval blockades, an amphibious assault and occupying a region. Approximately 8,000 Chinese troops will take part along with 2,000 Russian troops. China initially wanted to hold the exercise near the Taiwan Strait, Russia wanted to hold the exercise in Northwestern China near central Asia, but instead settlement was made on the Shandong Peninsula.;;;;;;;;;;X
EVT_17008_NAME;Peace Mission 2005;;;;;;;;;;X
EVT_17008_DESC;Today Peace Mission begins, the first ever joint military exercise between Russia and China. It will consist of combined land, sea, and air elements simulating an intervention in a state besieged by terrorists or political turmoil. The force will practice air and naval blockades, an amphibious assault and occupying a region. Approximately 8,000 Chinese troops will take part along with 2,000 Russian troops. China initially wanted to hold the exercise near the Taiwan Strait, Russia wanted to hold the exercise in Northwestern China near central Asia, but instead settlement was made on the Shandong Peninsula.;;;;;;;;;;X
EVT_17009_NAME;Shenzhou 6 launched;;;;;;;;;;X
EVT_17009_DESC;Today the second Chinese manned spaceflight mission, named 'Shenzhou 6' began. The Shenzhou spacecraft was launched on a Long March 2F rocket booster from Jiuquan Satellite Launch Center with a crew of two - Fei Junlong and Nie Haisheng. They are to spend 4 days in orbit and return to Earth on October 16.;;;;;;;;;;X
EVT_17010_NAME;Three Gorges Dam complete;;;;;;;;;;X
EVT_17010_DESC;Three Gorges Dam is now ready to work and provide electricity for large areas of China around the Yangtze river.;;;;;;;;;;X
EVT_17011_NAME;Qinghai-Tibet railway;;;;;;;;;;X
EVT_17011_DESC;The Qinghai-Tibet Railway launches a trial operation, connecting China proper and Tibet for the first time.;;;;;;;;;;X
EVT_17012_NAME;Nathula Pass re-opens;;;;;;;;;;X
EVT_17012_DESC;The Nathula Pass between India and China, sealed during the Sino-Indian War, re-opens for trade after 44 years.;;;;;;;;;;X
EVT_17013_NAME;Nathula Pass re-opens;;;;;;;;;;X
EVT_17013_DESC;The Nathula Pass between India and China, sealed during the Sino-Indian War, re-opens for trade after 44 years.;;;;;;;;;;X
EVT_17014_NAME;Xinjiang raid;;;;;;;;;;X
EVT_17014_DESC;The Xinjiang raid was carried out on January 5, 2007 by the Chinese police against a suspected East Turkestan Islamic Movement training camp in Akto County in the Pamirs plateau near the border between Afghanistan and Pakistan. A spokesperson for the Xinjiang Public Security Department said that 18 terror suspects were killed and 17 captured. The raid also resulted in the death of one Chinese police officer and the injury of another. Authorities confiscated hand grenades, guns, and makeshift explosives from the site.;;;;;;;;;;X
EVT_17015_NAME;Anti-satellite missile test;;;;;;;;;;X
EVT_17015_DESC;Today our military conducted an anti-satellite missile test. A weather satellite - the FY-1C polar orbit satellite of the Fengyun series, at an altitude of 865 kilometres - was destroyed by a kinetic kill vehicle traveling with a speed of 8 km/s in the opposite direction. It was launched with a multistage solid-fuel missile from Xichang Satellite Launch Center or nearby. Reports of foreign criticism from the USA and UK are coming in.;;;;;;;;;;X
EVT_17016_NAME;Chinese anti-satellite missile test;;;;;;;;;;X
EVT_17016_DESC;Today the Chinese military conducted an anti-satellite missile test. A weather satellite - the FY-1C polar orbit satellite of the Fengyun series, at an altitude of 865 kilometres - was destroyed by a kinetic kill vehicle traveling with a speed of 8 km/s in the opposite direction. It was launched with a multistage solid-fuel missile from Xichang Satellite Launch Center or nearby.;;;;;;;;;;X
EVT_17017_NAME;Chinese anti-satellite missile test;;;;;;;;;;X
EVT_17017_DESC;Today the Chinese military conducted an anti-satellite missile test. A weather satellite - the FY-1C polar orbit satellite of the Fengyun series, at an altitude of 865 kilometres - was destroyed by a kinetic kill vehicle traveling with a speed of 8 km/s in the opposite direction. It was launched with a multistage solid-fuel missile from Xichang Satellite Launch Center or nearby.;;;;;;;;;;X
EVT_17018_NAME;Chinese anti-satellite missile test;;;;;;;;;;X
EVT_17018_DESC;Today the Chinese military conducted an anti-satellite missile test. A weather satellite - the FY-1C polar orbit satellite of the Fengyun series, at an altitude of 865 kilometres - was destroyed by a kinetic kill vehicle traveling with a speed of 8 km/s in the opposite direction. It was launched with a multistage solid-fuel missile from Xichang Satellite Launch Center or nearby.;;;;;;;;;;X
EVT_17019_NAME;Chinese anti-satellite missile test;;;;;;;;;;X
EVT_17019_DESC;Today the Chinese military conducted an anti-satellite missile test. A weather satellite - the FY-1C polar orbit satellite of the Fengyun series, at an altitude of 865 kilometres - was destroyed by a kinetic kill vehicle traveling with a speed of 8 km/s in the opposite direction. It was launched with a multistage solid-fuel missile from Xichang Satellite Launch Center or nearby.;;;;;;;;;;X
EVT_17020_NAME;Slave scandal;;;;;;;;;;X
EVT_17020_DESC;The 2007 Chinese slave scandal was a series of forced labour cases in Shanxi, China. Thousands of Chinese people including children had been forced to work as slaves in illegal brickyards, and tortured by the owners of the brickyards. As of June 2007, approximately 550 people have been rescued from such situations.;;;;;;;;;;X
EVT_17021_NAME;Typhoon Wipha;;;;;;;;;;X
EVT_17021_DESC;Typhoon Wipha hits Fuding, China. Authorities had evacuated over two million people prior to the storm's landfall.;;;;;;;;;;X
EVT_17022_NAME;2008 Tibetan unrest;;;;;;;;;;X
EVT_17022_DESC;The 2008 Tibetan unrest was a series of activities undertaken to protest government policies in Tibet. The unrest began with demonstrations on March 10,2008, the 49th anniversary of the failed uprising in 1959 in Tibet against Beijing's rule. Rioting, burning and looting began on March 14. The unrest happened during the week when major local government leaders were away for the annual National People's Congress in Beijing. The events of March sparked world-wide interest in China and its treatment of Tibet prior to the 200 Olympic Games in Beijing. The event also  fanned nationalism among ethnic Chinese inside and outside of China, who viewed the event as a means by western countries to block the 'Rise of China'.;;;;;;;;;;X
EVT_17023_NAME;Sichuan earthquake;;;;;;;;;;X
EVT_17023_DESC;The nineteenth deadliest earthquake of all time, the 2008 Sichuan earthquake, occurred at 14:28 CST on May 12, 2008 in Sichuan province of China and by any name killed at least 69,000 less than three months before the 2008 Summer Olympics. The earthquake hit only hours after the Olympic Torch was carried through the city. The epicenter was 80 kilometres west-northwest of Chengdu, the capital of Sichuan, with a depth of 19 kilometres. The earthquake was also felt in nearby countries and felt as far away as both Beijing and Shanghai - 1,500 kilometres and 1,700 kilometres away - where office buildings swayed with the tremor. It is the deadliest earthquake to hit China since the 1976 Tangshan earthquake, which killed at least 240,000 people, and the strongest since the 1950 Chayu earthquake in the country, which registered at 8.5 on Richter magnitude scale.;;;;;;;;;;X
EVT_17024_NAME;Sichuan earthquake - aftermath;;;;;;;;;;X
EVT_17024_DESC;On 6 November 2008, the central government announced that it will spend 1 trillion yuan (about $146.5 billion) over the next three years to rebuild areas ravaged by the Sichuan earthquake.;;;;;;;;;;X
EVT_17025_NAME;2008 Summer Olympics;;;;;;;;;;X
EVT_17025_DESC;The 2008 Summer Olympic Games, officially known as the Games of the XXIX Olympiad, was a major international multi-sport event that took place in Beijing, People's Republic of China, from August 8 (except football, which started on August 6) to August 24, 2008. A total of 10,500 athletes competed in 302 events in 28 sports, one event more than was on the schedule of the 2004 Games. The 2008 Beijing Olympics marked the first occasion that either the Summer or Winter Games were hosted in China, making it the 22nd nation to do so. It also became the third time that Olympic events have been held in the territories of two different National Olympic Committees, as the equestrian events were being held in Hong Kong. The Chinese government promoted the Games and invested heavily in new facilities and transportation systems. The choice of China as a host country was the subject of criticism by some politicians and NGOs concerned about China's human rights record. China and others, meanwhile, warned against politicizing the Olympics.;;;;;;;;;;X
