#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#;;;;;;;;;;;X
MDS_DESC;War on Terror (2003);;;Guerra del terror (2003);Krieg gegen den Terror (2003);;;;;;x
EGY_DESC;The regularity and richness of the annual Nile River flood, coupled with semi-isolation provided by deserts to the east and west, allowed for the development of one of the world's great civilizations. A unified kingdom arose circa 3200 B.C. and a series of dynasties ruled in Egypt for the next three millennia. The last native dynasty fell to the Persians in 341 B.C., who in turn were replaced by the Greeks, Romans, and Byzantines. It was the Arabs who introduced Islam and the Arabic language in the 7th century and who ruled for the next six centuries. A local military caste, the Mamluks took control about 1250 and continued to govern after the conquest of Egypt by the Ottoman Turks in 1517. Following the completion of the Suez Canal in 1869, Egypt became an important world transportation hub, but also fell heavily into debt. Ostensibly to protect its investments, Britain seized control of Egypt's government in 1882, but nominal allegiance to the Ottoman Empire continued until 1914. Partially independent from the UK in 1922, Egypt acquired full sovereignty following World War II. The completion of the Aswan High Dam in 1971 and the resultant Lake Nasser have altered the time-honored place of the Nile River in the agriculture and ecology of Egypt. A rapidly growing population (the largest in the Arab world), limited arable land, and dependence on the Nile all continue to overtax resources and stress society. The government has struggled to ready the economy for the new millennium through economic reform and massive investment in communications and physical infrastructure.;;;;;;;;;;x
ENG_DESC;Great Britain, the dominant industrial and maritime power of the 19th century, played a leading role in developing parliamentary democracy and in advancing literature and science. At its zenith, the British Empire stretched over one-fourth of the earth's surface. The first half of the 20th century saw the UK's strength seriously depleted in two World Wars. The second half witnessed the dismantling of the Empire and the UK rebuilding itself into a modern and prosperous European nation. As one of five permanent members of the UN Security Council, a founding member of NATO, and of the Commonwealth, the UK pursues a global approach to foreign policyit currently is weighing the degree of its integration with continental Europe. A member of the EU, it chose to remain outside the Economic and Monetary Union for the time being. Constitutional reform is also a significant issue in the UK. The Scottish Parliament, the National Assembly for Wales, and the Northern Ireland Assembly were established in 1999, but the latter is suspended due to bickering over the peace process.;;;;;;;;;;x
U15_DESC;Equatorial Guinea gained independence in 1968 after 190 years of Spanish rule. This tiny country, composed of a mainland portion plus five inhabited islands, is one of the smallest on the African continent. President Obiang Nguema Mbasogo has ruled the country for over two decades since seizing power from his uncle, then President Macias, in a 1979 coup. Although nominally a constitutional democracy since 1991, the 1996 and 2002 presidential elections - as well as the 1999 legislative elections - were widely seen as being flawed. The president controls most opposition parties through the judicious use of patronage. Despite the country's economic windfall from oil production resulting in a massive increase in government revenue in recent years, there have been few improvements in the country's living standards.;;;;;;;;;;x
EST_DESC;After centuries of Danish, Swedish, German, and Russian rule, Estonia attained independence in 1918. Forcibly incorporated into the USSR in 1940, it regained its freedom in 1991, with the collapse of the Soviet Union. Since the last Russian troops left in 1994, Estonia has been free to promote economic and political ties with Western Europe.;;;;;;;;;;x
ETH_DESC;Unique among African countries, the ancient Ethiopian monarchy maintained its freedom from colonial rule, with the exception of the 1936-41 Italian occupation during World War II. In 1974 a military junta, the Derg, deposed Emperor Haile Selassie (who had ruled since 1930) and established a socialist state. Torn by bloody coups, uprisings, wide-scale drought, and massive refugee problems, the regime was finally toppled in 1991 by a coalition of rebel forces, the Ethiopian People's Revolutionary Democratic Front (EPRDF). A constitution was adopted in 1994 and Ethiopia's first multiparty elections were held in 1995. A two and a half year border war with Eritrea ended with a peace treaty on 12 December 2000. Final demarcation of the boundary is currently on hold due to Ethiopian objections to an international commission's finding requiring it to surrender sensitive territory.;;;;;;;;;;x
FIN_DESC;Finland was a province and then a grand duchy under Sweden from the 12th to the 19th centuries and an autonomous grand duchy of Russia after 1809. It won its complete independence in 1917. During World War II, it was able to successfully defend its freedom and resist invasions by the Soviet Union - albeit with some loss of territory. In the subsequent half century, the Finns made a remarkable transformation from a farm/forest economy to a diversified modern industrial economyper capita income is now on par with Western Europe. As a member of the European Union, Finland was the only Nordic state to join the euro system at its initiation in January 1999.;;;;;;;;;;x
FLA_DESC;"The South Pacific Commission, as it was formerly known, was founded in 1947 under the Canberra Agreement by the six ‘Participating Governments’ that administered territories in the Pacific: Australia, France, New Zealand, the Netherlands, the United Kingdom and the United States of America. Now all 22 Island countries and territories are full members, along with the five remaining founding powers (the Netherlands is no longer a member; the United Kingdom, which had earlier resigned, rejoined in 1998). Each member can exercise one vote at the Conference of the Pacific Community, although debates are usually resolved by the Pacific way of consensus (general agreement) rather than a vote. Although the region features a third of the world’s languages, SPC meetings bring together representatives from all of the island countries and territories using just two: English and French. The bilingual nature of SPC is a great and necessary strength, and it was in establishing SPC that the region, as opposed to a collection of 7500 diverse islands, came to exist.";;;;;;;;;;x
FRA_DESC;Although ultimately a victor in World Wars I and II, France suffered extensive losses in its empire, wealth, manpower, and rank as a dominant nation-state. Nevertheless, France today is one of the most modern countries in the world and is a leader among European nations. Since 1958, it has constructed a presidential democracy resistant to the instabilities experienced in earlier parliamentary democracies. In recent years, its reconciliation and cooperation with Germany have proved central to the economic integration of Europe, including the introduction of a common exchange currency, the euro, in January 1999. At present, France is at the forefront of efforts to develop the EU's military capabilities to supplement progress toward an EU foreign policy.;;;;;;;;;;x
GAB_DESC;Only two autocratic presidents have ruled Gabon since independence from France in 1960. Gabon's current President, El Hadj Omar Bongo Ondimba - one of the longest-serving heads of state in the world - has dominated Gabon's political scene for almost four decades. President Bongo introduced a nominal multiparty system and a new constitution in the early 1990s. However, the low turnout and allegations of electoral fraud during the most recent local elections in 2002-03 have exposed the weaknesses of formal political structures in Gabon. Presidential elections scheduled for 2005 are unlikely to bring change since the opposition remains weak, divided, and financially dependent on the current regime. Despite political conditions, a small population, abundant natural resources, and considerable foreign support have helped make Gabon one of the more prosperous and stable African countries.;;;;;;;;;;x
GEO_DESC;The region of present-day Georgia contained the ancient kingdoms of Colchis and Kartli-Iberia. The area came under Roman influence in the first centuries AD and Christianity became the state religion in the 330s. Domination by Persians, Arabs, and Turks was followed by a Georgian golden age (11th to the 13th centuries) that was cut short by the Mongol invasion of 1236. Subsequently, the Ottoman and Persian empires competed for influence in the region. Georgia was absorbed into the Russian Empire in the 19th century. Independent for three years (1918-1921) following the Russian revolution, it was forcibly incorporated into the USSR until the Soviet Union dissolved in 1991. Despite myriad problems, some progress on market reforms and democratization has been made since then.;;;;;;;;;;x
GER_DESC;As Europe's largest economy and most populous nation, Germany remains a key member of the continent's economic, political, and defense organizations. European power struggles immersed Germany in two devastating World Wars in the first half of the 20th century and left the country occupied by the victorious Allied powers of the US, UK, France, and the Soviet Union in 1945. With the advent of the Cold War, two German states were formed in 1949: the western Federal Republic of Germany (FRG) and the eastern German Democratic Republic (GDR). The democratic FRG embedded itself in key Western economic and security organizations, the EC, which became the EU, and NATO, while the Communist GDR was on the front line of the Soviet-led Warsaw Pact. The decline of the USSR and the end of the Cold War allowed for German unification in 1990. Since then, Germany has expended considerable funds to bring Eastern productivity and wages up to Western standards. In January 1999, Germany and 10 other EU countries introduced a common European exchange currency, the euro.;;;;;;;;;;x
GRE_DESC;Greece achieved its independence from the Ottoman Empire in 1829. During the second half of the 19th century and the first half of the 20th century, it gradually added neighboring islands and territories, most with Greek-speaking populations. In World War II, Greece was first invaded by Italy (1940) and subsequently occupied by Germany (1941-44)fighting endured in a protracted civil war between royalist supporters of the king and communist rebels. Following the latter's defeat in 1949, Greece was able to join NATO in 1952. A military dictatorship, which in 1967 suspended many political liberties and forced the king to flee the country, lasted seven years. The 1974 democratic elections and a referendum created a parliamentary republic and abolished the monarchy. Greece joined the European Community or EC in 1981 (which became the EU in 1992)it became the 12th member of the euro zone in 2001.;;;;;;;;;;x
GUA_DESC;The Maya civilization flourished in Guatemala and surrounding regions during the first millennium A.D. After almost three centuries as a Spanish colony, Guatemala won its independence in 1821. During the second half of the 20th century, it experienced a variety of military and civilian governments as well as a 36-year guerrilla war. In 1996, the government signed a peace agreement formally ending the conflict, which had left more than 100,000 people dead and had created some 1 million refugees.;;;;;;;;;;x
GUI_DESC;Guinea, officially the Republic of Guinea (French: République de Guinée), is a country in West Africa. Formerly known as French Guinea (Guinée française), it is today sometimes called Guinea-Conakry to distinguish it from its neighbour Guinea-Bissau and the Republic of Equatorial Guinea. The land that is now Guinea belonged to a series of African empires until France colonized it in the 1890s, and made it part of French West Africa. Guinea declared its independence from France on 2 October 1958. From independence until the presidential election of 2010, Guinea was governed by a number of autocratic rulers, which has contributed to making Guinea one of the poorest countries in the world.;;;;;;;;;;x
GUY_DESC;Guyana, officially the Co-operative Republic of Guyana, previously the colony of British Guiana, is a sovereign state on the northern coast of South America that is culturally part of the Anglophone Caribbean. Guyana was a former colony of the Dutch and, for over 200 years, the British. It is the only state of the Commonwealth of Nations on mainland South America, and the only one on that continent where English is the official language. It is one of the few Caribbean countries that is not an island. It is also a member of the Caribbean Community (CARICOM), which has its secretariat headquarters in Guyana's capital, Georgetown. Guyana achieved independence from the United Kingdom on 26 May 1966, and became a republic on 23 February 1970. In 2008, the country joined the Union of South American Nations as a founding member.;;;;;;;;;;x
HAI_DESC;Haiti, officially the Republic of Haiti (République d'Haïti; Repiblik Ayiti), is a Caribbean country. It occupies the western, smaller portion of the island of Hispaniola, in the Greater Antillean archipelago, which it shares with the Dominican Republic. Haiti's regional, historical, and ethno-linguistic position is unique for several reasons. It was the first independent nation of Latin America and the Caribbean, the first black-led republic in the world, and the second republic in the Americas when it gained independence in 1804 as part of a successful slave revolution lasting nearly a decade. In 2012, Haiti announced its intention to seek associate membership status in the African Union. Haiti is the only predominantly Francophone independent nation in the Americas. It is one of only two independent nations in the Americas (along with Canada) to designate French as an official language; the other French-speaking areas are all overseas départements, or collectivités, of France.;;;;;;;;X
HOL_DESC;The Kingdom of the Netherlands was formed in 1815. In 1830 Belgium seceded and formed a separate kingdom. The Netherlands remained neutral in World War I, but suffered invasion and occupation by Germany in World War II. A modern, industrialized nation, the Netherlands is also a large exporter of agricultural products. The country was a founding member of NATO and the EEC (now the EU), and participated in the introduction of the euro in 1999.;;;;;;;;;;x
HON_DESC;Once part of Spain's vast empire in the New World, Honduras became an independent nation in 1821. After two and a half decades of mostly military rule, a freely elected civilian government came to power in 1982. During the 1980s, Honduras proved a haven for anti-Sandinista contras fighting the Marxist Nicaraguan Government and an ally to Salvadoran Government forces fighting leftist guerrillas. The country was devastated by Hurricane Mitch in 1998, which killed about 5,600 people and caused approximately $2 billion in damage.;;;;;;;;;;x
HUN_DESC;Hungary was part of the polyglot Austro-Hungarian Empire, which collapsed during World War I. The country fell under Communist rule following World War II. In 1956, a revolt and announced withdrawal from the Warsaw Pact were met with a massive military intervention by Moscow. Under the leadership of Janos Kadar in 1968, Hungary began liberalizing its economy, introducing so-called 'Goulash Communism.' Hungary held its first multiparty elections in 1990 and initiated a free market economy. It joined NATO in 1999.;;;;;;;;;;x
ICL_DESC;Settled by Norwegian and Celtic (Scottish and Irish) immigrants during the late 9th and 10th centuries A.D., Iceland boasts the world's oldest functioning legislative assembly, the Althing, established in 930. Independent for over 300 years, Iceland was subsequently ruled by Norway and Denmark. Fallout from the Askja volcano of 1875 devastated the Icelandic economy and caused widespread famine. Over the next quarter century, 20 percent of the island's population emigrated, mostly to Canada and the US. Limited home rule from Denmark was granted in 1874 and complete independence attained in 1944. Literacy, longevity, income, and social cohesion are first-rate by world standards.;;;;;;;;;;x
IND_DESC;The Indus Valley civilization, one of the oldest in the world, dates back at least 5,000 years. Aryan tribes from the northwest invaded about 1500 B.C.their merger with the earlier Dravidian inhabitants created the classical Indian culture. Arab incursions starting in the 8th century and Turkish in the 12th were followed by those of European traders, beginning in the late 15th century. By the 19th century, Britain had assumed political control of virtually all Indian lands. Indian armed forces in the British army played a vital role in both World Wars. Nonviolent resistance to British colonialism led by Mohandas Gandhi and Jawaharlal Nehru brought independence in 1947. The subcontinent was divided into the secular state of India and the smaller Muslim state of Pakistan. A third war between the two countries in 1971 resulted in East Pakistan becoming the separate nation of Bangladesh. Despite impressive gains in economic investment and output, India faces pressing problems such as the ongoing dispute with Pakistan over Kashmir, massive overpopulation, environmental degradation, extensive poverty, and ethnic and religious strife.;;;;;;;;;;x
INO_DESC;The Dutch began to colonize Indonesia in the early 17th centurythe islands were occupied by Japan from 1942 to 1945. Indonesia declared its independence after Japan's surrender, but it required four years of intermittent negotiations, recurring hostilities, and UN mediation before the Netherlands agreed to relinquish its colony. Indonesia is the world's largest archipelagic state. Current issues include: alleviating widespread poverty, preventing terrorism, continuing the transition to popularly-elected governments after four decades of authoritarianism, implementing reforms of the banking sector, addressing charges of cronyism and corruption, holding the military and police accountable for human rights violations, and resolving armed separatist movements in Aceh and Papua.;;;;;;;;;;x
IRE_DESC;Celtic tribes arrived on the island between 600-150 B.C. Invasions by Norsemen that began in the late 8th century were finally ended when King Brian BORU defeated the Danes in 1014. English invasions began in the 12th century and set off more than seven centuries of Anglo-Irish struggle marked by fierce rebellions and harsh repressions. A failed 1916 Easter Monday Rebellion touched off several years of guerrilla warfare that in 1921 resulted in independence from the UK for 26 southern countiessix northern (Ulster) counties remained part of the United Kingdom. In 1948 Ireland withdrew from the British Commonwealthit joined the European Community in 1973. Irish governments have sought the peaceful unification of Ireland and have cooperated with Britain against terrorist groups. A peace settlement for Northern Ireland, known as the Good Friday Agreement and approved in 1998, is being implemented with some difficulties.;;;;;;;;;;x
IRQ_DESC;Formerly part of the Ottoman Empire, Iraq was occupied by Britain during the course of World War Iin 1920, it was declared a League of Nations mandate under UK administration. In stages over the next dozen years, Iraq attained its independence as a kingdom in 1932. A 'republic' was proclaimed in 1958, but in actuality a series of military strongmen ruled the country, the latest was Saddam Husayn. Territorial disputes with Iran led to an inconclusive and costly eight-year war (1980-88). In August 1990, Iraq seized Kuwait, but was expelled by US-led, UN coalition forces during the Gulf War of January-February 1991. Following Kuwait's liberation, the UN Security Council (UNSC) required Iraq to scrap all weapons of mass destruction and long-range missiles and to allow UN verification inspections. Continued Iraqi noncompliance with UNSC resolutions over a period of 12 years resulted in the US-led attack on Iraq in March 2003.;;;;;;;;;;x
ISR_DESC;Following World War II, the British withdrew from their mandate of Palestine, and the UN partitioned the area into Arab and Jewish states, an arrangement rejected by the Arabs. Subsequently, the Israelis defeated the Arabs in a series of wars without ending the deep tensions between the two sides. The territories occupied by Israel since the 1967 war are not included in the Israel country profile, unless otherwise noted. On 25 April 1982, Israel withdrew from the Sinai pursuant to the 1979 Israel-Egypt Peace Treaty. Israel and Palestinian officials signed on 13 September 1993 a Declaration of Principles (also known as the 'Oslo accords') guiding an interim period of Palestinian self-rule. Outstanding territorial and other disputes with Jordan were resolved in the 26 October 1994 Israel-Jordan Treaty of Peace. In addition, on 25 May 2000, Israel withdrew unilaterally from southern Lebanon, which it had occupied since 1982. In keeping with the framework established at the Madrid Conference in October 1991, bilateral negotiations were conducted between Israel and Palestinian representatives and Syria to achieve a permanent settlement. On 24 June 2002, US President BUSH laid out a 'road map' for resolving the Israeli-Palestinian conflict, which envisions a two-state solution. However, progress toward a permanent status agreement has been undermined by Palestinian-Israeli violence ongoing since September 2000.;;;;;;;;;;x
ITA_DESC;Italy became a nation-state in 1861 when the city-states of the peninsula, along with Sardinia and Sicily, were united under King Victor Emmanuel II. An era of parliamentary government came to a close in the early 1920s when Benito Mussolini established a Fascist dictatorship. His disastrous alliance with Nazi Germany led to Italy's defeat in World War II. A democratic republic replaced the monarchy in 1946 and economic revival followed. Italy was a charter member of NATO and the European Economic Community (EEC). It has been at the forefront of European economic and political unification, joining the Economic and Monetary Union in 1999. Persistent problems include illegal immigration, organized crime, corruption, high unemployment, sluggish economic growth, and the low incomes and technical standards of southern Italy compared with the prosperous north.;;;;;;;;;;x
JAP_DESC;In 1603, a Tokugawa shogunate (military dictatorship) ushered in a long period of isolation from foreign influence in order to secure its power. For 250 years this policy enabled Japan to enjoy stability and a flowering of its indigenous culture. Following the Treaty of Kanagawa with the United States in 1854, Japan opened its ports and began to intensively modernize and industrialize. During the late 19th and early 20th centuries, Japan became a regional power that was able to defeat the forces of both China and Russia. It occupied Korea, Formosa (Taiwan), and southern Sakhalin Island. In 1933 Japan occupied Manchuria and in 1937 it launched a full-scale invasion of China. Japan attacked US forces in 1941 - triggering America's entry into World War II - and soon occupied much of East and Southeast Asia. After its defeat in World War II, Japan recovered to become an economic power and a staunch ally of the US. While the emperor retains his throne as a symbol of national unity, actual power rests in networks of powerful politicians, bureaucrats, and business executives. The economy experienced a major slowdown starting in the 1990s following three decades of unprecedented growth, but Japan still remains a major economic power, both in Asia and globally.;;;;;;;;;;x
JOR_DESC;For most of its history since independence from British administration in 1946, Jordan was ruled by King Hussein (1953-99). A pragmatic ruler, he successfully navigated competing pressures from the major powers (US, USSR, and UK), various Arab states, Israel, and a large internal Palestinian population, despite several wars and coup attempts. In 1989 he reinstituted parliamentary elections and gradual political liberalizationin 1994 he signed a formal peace treaty with Israel. King Abdallah II - the eldest son of King Hussein and Princess Muna - assumed the throne following his father's death in February 1999. Since then, he has consolidated his power and undertaken an aggressive economic reform program. Jordan acceded to the World Trade Organization in 2000, and began to participate in the European Free Trade Association in 2001.;;;;;;;;;;x
KAZ_DESC;Native Kazakhs, a mix of Turkic and Mongol nomadic tribes who migrated into the region in the 13th century, were rarely united as a single nation. The area was conquered by Russia in the 18th century and Kazakhstan became a Soviet Republic in 1936. During the 1950s and 1960s agricultural 'Virgin Lands' program, Soviet citizens were encouraged to help cultivate Kazakhstan's northern pastures. This influx of immigrants (mostly Russians, but also some other deported nationalities) skewed the ethnic mixture and enabled non-Kazakhs to outnumber natives. Independence in 1991 caused many of these newcomers to emigrate. Current issues include: developing a cohesive national identityexpanding the development of the country's vast energy resources and exporting them to world marketsachieving a sustainable economic growth outside the oil, gas, and mining sectorsand strengthening relations with neighboring states and other foreign powers.;;;;;;;;;;x
KOR_DESC;Korea was an independent kingdom under Chinese suzerainty for most of the past millennium. Following its victory in the Russo-Japanese War in 1905, Japan occupied Koreafive years later it formally annexed the entire peninsula. After World War II, a republic was set up in the southern half of the Korean Peninsula while a Communist-style government was installed in the north. During the Korean War (1950-53), US and other UN forces intervened to defend South Korea from North Korean attacks supported by the Chinese. An armistice was signed in 1953, splitting the peninsula along a demilitarized zone at about the 38th parallel. Thereafter, South Korea achieved rapid economic growth with per capita income rising to roughly 14 times the level of North Korea. In 1987, South Korean voters elected Roh Tae-woo to the presidency, ending 26 years of military dictatorships. South Korea today is a fully functioning modern democracy. In June 2000, a historic first North-South summit took place between the South's President Kim Tae-chung and the North's leader Kim Jong Il.;;;;;;;;;;x
KYG_DESC;A Central Asian country of incredible natural beauty and proud nomadic traditions, Kyrgyzstan was annexed by Russia in 1864it achieved independence from the Soviet Union in 1991. Current concerns include: privatization of state-owned enterprises, expansion of democracy and political freedoms, interethnic relations, and combating terrorism.;;;;;;;;;;x
LAO_DESC;Laos was under the control of Siam (Thailand) from the late 18th century until the late 19th century when it became part of French Indochina. The Franco-Siamese Treaty of 1907 defined the current Lao border with Thailand. In 1975, the Communist Pathet Lao took control of the government, ending a six-century-old monarchy. Initial closer ties to Vietnam and socialization were replaced with a gradual return to private enterprise, a liberalization of foreign investment laws, and the admission into ASEAN in 1997.;;;;;;;;;;x
LAT_DESC;After a brief period of independence between the two World Wars, Latvia was annexed by the USSR in 1940. It reestablished its independence in 1991 following the breakup of the Soviet Union. Although the last Russian troops left in 1994, the status of the Russian minority (some 30 percent of the population) remains of concern to Moscow.;;;;;;;;;;x
LBY_DESC;From the earliest days of his rule following his 1969 military coup, Col. Muammar Abu Minyar al-Qadhafi has espoused his own political system, the Third Universal Theory. The system is a combination of socialism and Islam derived in part from tribal practices and is supposed to be implemented by the Libyan people themselves in a unique form of 'direct democracy.' Qadhafi has always seen himself as a revolutionary and visionary leader. He used oil funds during the 1970s and 1980s to promote his ideology outside Libya, supporting subversives and terrorists abroad to hasten the end of Marxism and capitalism. In addition, beginning in 1973, he engaged in military operations in northern Chad's Aozou Strip - to gain access to minerals and to use as a base of influence in Chadian politics - but was forced to retreat in 1987. UN sanctions in 1992 isolated Qadhafi politically following the downing of Pan AM Flight 103 over Lockerbie, Scotland. Libyan support for terrorism appeared to have decreased after the imposition of sanctions. During the 1990s, Qadhafi also began to rebuild his relationships with Europe. UN sanctions were suspended in April 1999.;;;;;;;;;;x
LEB_DESC;Lebanon has made progress toward rebuilding its political institutions since 1991 and the end of the devastating 15-year civil war. Under the Ta'if Accord - the blueprint for national reconciliation - the Lebanese have established a more equitable political system, particularly by giving Muslims a greater say in the political process while institutionalizing sectarian divisions in the government. Since the end of the war, the Lebanese have conducted several successful elections, most of the militias have been weakened or disbanded, and the Lebanese Armed Forces (LAF) have extended central government authority over about two-thirds of the country. Hizballah, a radical Shia organization, retains its weapons. During Lebanon's civil war, the Arab League legitimized in the Ta'if Accord Syria's troop deployment, numbering about 16,000 based mainly east of Beirut and in the Bekaa Valley. Damascus justifies its continued military presence in Lebanon by citing Beirut's requests and the failure of the Lebanese Government to implement all of the constitutional reforms in the Ta'if Accord. Israel's withdrawal from southern Lebanon in May 2000, however, encouraged some Lebanese groups to demand that Syria withdraw its forces as well.;;;;;;;;;;x
LIT_DESC;Independent between the two World Wars, Lithuania was annexed by the USSR in 1940. On 11 March 1990, Lithuania became the first of the Soviet republics to declare its independence, but Moscow did not recognize this proclamation until September of 1991 (following the abortive coup in Moscow). The last Russian troops withdrew in 1993. Lithuania subsequently restructured its economy for integration into Western European institutions.;;;;;;;;;;x
LUX_DESC;Founded in 963, Luxembourg became a grand duchy in 1815 and an independent state under the Netherlands. It lost more than half of its territory to Belgium in 1839, but gained a larger measure of autonomy. Full independence was attained in 1867. Overrun by Germany in both World Wars, it ended its neutrality in 1948 when it entered into the Benelux Customs Union and when it joined NATO the following year. In 1957, Luxembourg became one of the six founding countries of the European Economic Community (later the European Union), and in 1999 it joined the euro currency area.;;;;;;;;;;x
MAD_DESC;Formerly an independent kingdom, Madagascar became a French colony in 1896, but regained its independence in 1960. During 1992-93, free presidential and National Assembly elections were held, ending 17 years of single-party rule. In 1997, in the second presidential race, Didier RATSIRAKA, the leader during the 1970s and 1980s, was returned to the presidency. The 2001 presidential election was contested between the followers of Didier Ratsiraka and Marc Ravalomanana, nearly causing secession of half of the country. In April 2002, the High Constitutional Court announced Ravalomanana the winner.;;;;;;;;;;x
U92_DESC;Great Britain formally acquired possession of Malta in 1814. The island staunchly supported the UK through both World Wars and remained in the Commonwealth when it became independent in 1964. A decade later Malta became a republic. Since about the mid-1980s, the island has transformed itself into a freight transshipment point, a financial center, and a tourist destination.;;;;;;;;;;x
MEX_DESC;The site of advanced Amerindian civilizations, Mexico came under Spanish rule for three centuries before achieving independence early in the 19th century. A devaluation of the peso in late 1994 threw Mexico into economic turmoil, triggering the worst recession in over half a century. The nation continues to make an impressive recovery. Ongoing economic and social concerns include low real wages, underemployment for a large segment of the population, inequitable income distribution, and few advancement opportunities for the largely Amerindian population in the impoverished southern states. Elections held in July 2000 marked the first time since the 1910 Mexican Revolution that the opposition defeated the party in government, the Institutional Revolutionary Party (PRI). Vicente FOX of the National Action Party (PAN) was sworn in on 1 December 2000 as the first chief executive elected in free and fair elections.;;;;;;;;;;x
MLY_DESC;During the late 18th and 19th centuries, Great Britain established colonies and protectorates in the area of current Malaysia these were occupied by Japan from 1942 to 1945. In 1948, the British-ruled territories on the Malay Peninsula formed the Federation of Malaya, which became independent in 1957. Malaysia was formed in 1963 when the former British colonies of Singapore and the East Malaysian states of Sabah and Sarawak on the northern coast of Borneo joined the Federation. The first several years of the country's history were marred by Indonesian efforts to control Malaysia, Philippine claims to Sabah, and Singapore's secession from the Federation in 1965.;;;;;;;;;;x
MON_DESC;The Mongols gained fame in the 13th century when under Chinggis Khan they conquered a huge Eurasian empire. After his death the empire was divided into several powerful Mongol states, but these broke apart in the 14th century. The Mongols eventually retired to their original steppe homelands and later came under Chinese rule. Mongolia won its independence in 1921 with Soviet backing. A Communist regime was installed in 1924. During the early 1990s, the ex-Communist Mongolian People's Revolutionary Party (MPRP) gradually yielded its monopoly on power to the Democratic Union Coalition (DUC), which defeated the MPRP in a national election in 1996.;;;;;;;;;;x
MOR_DESC;Morocco's long struggle for independence from France ended in 1956. The internationalized city of Tangier was turned over to the new country that same year. Morocco virtually annexed Western Sahara during the late 1970s, but final resolution on the status of the territory remains unresolved. Gradual political reforms in the 1990s resulted in the establishment of a bicameral legislature in 1997. Parliamentary elections were held for the second time in September 2002.;;;;;;;;;;x
MOZ_DESC;Almost five centuries as a Portuguese colony came to a close with independence in 1975. Large-scale emigration by whites, economic dependence on South Africa, a severe drought, and a prolonged civil war hindered the country's development. The ruling Front for the Liberation of Mozambique (FRELIMO) party formally abandoned Marxism in 1989, and a new constitution the following year provided for multiparty elections and a free market economy. A UN-negotiated peace agreement between FRELIMO and rebel Mozambique National Resistance (RENAMO) forces ended the fighting in 1992.;;;;;;;;;;x
NAM_DESC;South Africa occupied the German colony of South-West Africa during World War I and administered it as a mandate until after World War II, when it annexed the territory. In 1966 the Marxist South-West Africa People's Organization (SWAPO) guerrilla group launched a war of independence for the area that was soon named Namibia, but it was not until 1988 that South Africa agreed to end its administration in accordance with a UN peace plan for the entire region. Namibia won its independence in 1990 and has been governed by SWAPO since.;;;;;;;;;;x
NEP_DESC;In 1951, the Nepalese monarch ended the century-old system of rule by hereditary premiers and instituted a cabinet system of government. Reforms in 1990 established a multiparty democracy within the framework of a constitutional monarchy. A Maoist insurgency, launched in 1996, has gained traction and is threatening to bring down the regime, especially after a negotiated cease-fire between the Maoists and government forces broke down in August 2003. In 2001, the crown prince massacred ten members of the royal family, including the king and queen, and then took his own life. In October 2002, the new king dismissed the prime minister and his cabinet for 'incompetence' after they dissolved the parliament and were subsequently unable to hold elections because of the ongoing insurgency.;;;;;;;;;;x
NIC_DESC;The Pacific Coast of Nicaragua was settled as a Spanish colony from Panama in the early 16th century. Independence from Spain was declared in 1821 and the country became an independent republic in 1838. Britain occupied the Caribbean Coast in the first half of the 19th century, but gradually ceded control of the region in subsequent decades. Violent opposition to governmental manipulation and corruption spread to all classes by 1978 and resulted in a short-lived civil war that brought the Marxist Sandinista guerrillas to power in 1979. Nicaraguan aid to leftist rebels in El Salvador caused the US to sponsor anti-Sandinista contra guerrillas through much of the 1980s. Free elections in 1990, 1996, and again in 2001 saw the Sandinistas defeated. The country has slowly rebuilt its economy during the 1990s, but was hard hit by Hurricane Mitch in 1998.;;;;;;;;;;x
NIG_DESC;Following nearly 16 years of military rule, a new constitution was adopted in 1999, and a peaceful transition to civilian government was completed. The president faces the daunting task of rebuilding a petroleum-based economy, whose revenues have been squandered through corruption and mismanagement, and institutionalizing democracy. In addition, the Obasanjo administration must defuse longstanding ethnic and religious tensions, if it is to build a sound foundation for economic growth and political stability.;;;;;;;;;;x
NOR_DESC;Two centuries of Viking raids into Europe tapered off following the adoption of Christianity by King Olav Tryggvason in 994. Conversion of the Norwegian kingdom occurred over the next several decades. In 1397, Norway was absorbed into a union with Denmark that was to last for more than four centuries. In 1814, Norwegians resisted the cession of their country to Sweden and adopted a new constitution. Sweden then invaded Norway but agreed to let Norway keep its constitution in return for accepting the union under a Swedish king. Rising nationalism throughout the 19th century led to a 1905 referendum granting Norway independence. Although Norway remained neutral in World War I, it suffered heavy losses to its shipping. Norway proclaimed its neutrality at the outset of World War II, but was nonetheless occupied for five years by Nazi Germany (1940-45). In 1949, neutrality was abandoned and Norway became a member of NATO. Discovery of oil and gas in adjacent waters in the late 1960s boosted Norway's economic fortunes. The current focus is on containing spending on the extensive welfare system and planning for the time when petroleum reserves are depleted. In referenda held in 1972 and 1994, Norway rejected joining the EU.;;;;;;;;;;x
