USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
87766;Minister of Security;Fred Thompson;2008;2050;2050;ML;Silent Lawyer;Medium;fred_thompson;X
87767;Foreign Minister;Joe Lieberman;2004;2050;2050;SL;iron fisted brute;Medium;Joe_Lieberman;X
87768;Foreign Minister;Zbigniew Brzezinski;2008;2050;2050;ML;the cloak n dagger schemer;Medium;Zbigniew_Brzezinski;X
87769;Head of Military Intelligence;Zbigniew Brzezinski;2008;2050;2050;ML;Political Specialist;Medium;Zbigniew_Brzezinski;X
87770;Minister of Armament;Arnold Schwarzenegger;2008;2050;2050;ML;laissez-faire capitalist;Medium;Arnold_Schwarzenegger;X
87771;Minister of Armament;Gene Sperling;2008;2050;2050;SL;laissez-faire capitalist;Medium;Gene_Sperling;X
87772;Minister of Security;Janet Napolitano;2008;2050;2050;SL;Efficient Sociopath;Medium;Janet_Napolitano;X
87773;Minister of Armament;Charlene Barshefsky;2008;2050;2050;SL;laissez-faire capitalist;Medium;Charlene_Barshefsky;X
87774;Minister of Armament;Austan D. Goolsbee;2008;2050;2050;SL;Resource Industrialist;Medium;Austan_D_Goolsbee;X
87775;Minister of Security;John Edwards;2008;2050;2050;SL;Man of the People;Medium;john edwards;X
87776;Head of State;Arnold Schwarzenegger;2008;2050;2050;ML;Popular Figurehead;Medium;Arnold_Schwarzenegger;X
87777;Head of Government;Arnold Schwarzenegger;2008;2050;2050;ML;Flamboyant Tough Guy;Medium;Arnold_Schwarzenegger;X
87778;Chief of Staff;Michael Mullen;2003;2050;2050;ML;School of Psychology;Medium;Michael_Mullen;X
87779;Chief of Navy;Michael Mullen;2003;2050;2050;ML;Open Seas Doctrine;Medium;Michael_Mullen;X
87780;Chief of Navy;Gary Roughead;2003;2050;2050;ML;Open Seas Doctrine;Medium;Gary_Roughhead;X
87781;Chief of Army;George William Casey;2003;2050;2050;ML;Armoured Spearhead Doctrine;Medium;george_w_casey;X
87782;Chief of Navy;James T. Conway;2003;2050;2050;ML;Base Control Doctrine;Medium;james_t_conway;X
87783;Chief of Air Force;Malcom Granger;2016;2050;2050;ML;Air Superiority Doctrine;Medium;cncgeneralsgranger;X
87784;Chief of Staff;Alexis Alexander;2016;2050;2050;ML;School of Fire Support;Medium;cncgeneralsalexander;X
87785;Chief of Army;Franklin Townes;2016;2050;2050;ML;Armoured Spearhead Doctrine;Medium;cncgeneralstownes;X
87786;Chief of Navy;Alexis Alexander;2016;2050;2050;ML;Base Control Doctrine;Medium;cncgeneralsalexander;X
87787;Chief of Staff;Robert Smith;2016;2050;2050;ML;school of defence;Medium;cncgeneralsironside;X
87788;Chief of Air Force;James Cartwright;2003;2050;2050;ML;Naval Aviation Doctrine;Medium;james_cartwright;X
87789;Chief of Army;Richard Cody;2003;2050;2050;ML;elastic defence doctrine;Medium;richard_cody;X
87790;Chief of Navy;Patrick Walsh;2003;2050;2050;ML;Power Projection Doctrine;Medium;patrick_walsh;X# Texas
87791;Chief of Staff;Martin Dempsey;2003;2050;2050;ML;School of Manoeuvre;Medium;martin_dempsey;X
87792;Head of State;Bob Barr;2003;2050;2050;ML;Pig-headed Isolationist;Medium;bob_barr;X
87793;Head of Government;Bob Barr;2003;2050;2050;ML;Naive Optimist;Medium;bob_barr;X
87794;Head of State;Chuck Baldwin;2003;2050;2050;SC;Pig-headed Isolationist;Medium;chuck_baldwin;X
87795;Head of Government;Chuck Baldwin;2003;2050;2050;SC;Naive Optimist;Medium;chuck_baldwin;X
87796;Head of State;Jesse Ventura;2003;2050;2050;ML;Pig-headed Isolationist;Medium;jesse_ventura;X
87797;Head of Government;Jesse Ventura;2003;2050;2050;ML;Flamboyant Tough Guy;Medium;jesse_ventura;X
87798;Minister of Security;Teresa Gutierrez;2003;2050;2050;LE;Prince of Terror;Medium;teresa_gutierrez;X
87799;Foreign Minister;John Parker;2003;2050;2050;LE;Great Compromiser;Medium;john_parker;X
87800;Chief of Staff;Michael Prysner;2003;2050;2050;LE;School of Mass Combat;Medium;michael_prysner;X
87801;Chief of Army;Michael Prysner;2003;2050;2050;LE;Decisive Battle Doctrine;Medium;michael_prysner;X
87802;Chief of Air Force;H. Bruce Franklin;2003;2050;2050;ST;Naval Aviation Doctrine;Medium;H_Bruce_Franklin;X
87803;Minister of Armament;H. Bruce Franklin;2003;2050;2050;ST;Battle Fleet Proponent;Medium;H_Bruce_Franklin;X
87804;Chief of Navy;H. Bruce Franklin;2003;2050;2050;ST;Open Seas Doctrine;Medium;H_Bruce_Franklin;X
87805;Chief of Air Force;Tim Goodrich;2003;2050;2050;LE;Army Aviation Doctrine;Medium;tim_goodrich;X
87806;Chief of Navy;Kenneth Mayers;2003;2050;2050;LE;Base Control Doctrine;Medium;kenneth_Mayers;X
87807;Minister of Armament;Gloria La Riva;2003;2050;2050;LE;Military Entrepreneur;Medium;gloria_la_riva;X
87808;Minister of Security;Sergio Farias;2003;2050;2050;LWR;Man of the People;Medium;sergio_farias;X
87809;Minister of Security;Darrell Castle;2003;2050;2050;SC;Silent Lawyer;Medium;darell_castle;X
87810;Chief of Navy;Tony Zirkle;2003;2050;2050;FA;Open Seas Doctrine;Medium;tony_zirkle;X
87811;Chief of Air Force;Tony Zirkle;2003;2050;2050;FA;Naval Aviation Doctrine;Medium;tony_zirkle;X
87812;Minister of Security;Tony Zirkle;2003;2050;2050;FA;Crime Fighter;Medium;tony_zirkle;X
87813;Minister of Armament;Tony Zirkle;2003;2050;2050;FA;Battle Fleet Proponent;Medium;tony_zirkle;X
87814;Foreign Minister;Hillary Clinton;2008;2050;2050;SL;Ideological Crusader;High;M87529;X
87815;Head of Military Intelligence;Janet Napolitano;2008;2050;2050;SL;Political Specialist;High;Janet_Napolitano;X
87816;Head of Military Intelligence;James L. Jones;2008;2050;2050;SL;Political Specialist;High;Jljones;X
87817;Chief of Air Force;Norton A. Schwartz;2008;2050;2050;SL;Naval Aviation Doctrine;High;Naschwartz;X
87818;Minister of Security;Eric Holder;2003;2050;2050;SL;Silent Lawyer;Medium;ericholder;X
87819;Minister of Armament;Tim Geither;2003;2050;2050;SL;laissez-faire capitalist;Medium;TimGeither;X
87820;Chief of Army;Peter Chiarelli;2005;2050;2050;ML;Armoured Spearhead Doctrine;High;Pchiarelli;X# PSA
87821;Chief of Navy;Jonathan Greenert;2006;2050;2050;ML;Indirect Approach Doctrine;High;Jgreenert;X
87822;Chief of Navy;John Nathman;2003;2050;2050;ML;Power Projection Doctrine;High;Jbnathman;X# Texas
87823;Chief of Navy;William Fallon;2003;2050;2050;SL;Power Projection Doctrine;High;Wjfallon;X
87824;Chief of Air Force;Carrol Chandler;2006;2050;2050;ML;Air Superiority Doctrine;High;Cchandler;X
87825;Chief of Air Force;William Fraser;2003;2050;2050;ML;Carpet Bombing Doctrine;High;Wfraser;X# Texas
87826;Chief of Air Force;Duncan Mcnabb;2003;2050;2050;SL;Vertical Envelopment Doctrine;High;Dmcnabb;X
87827;Chief of Air Force;John Corley;2003;2050;2050;ML;Air Superiority Doctrine;High;Jcorley;X
87828;Head of State;Gary Johnson;2012;2050;2050;ML;Pig-headed Isolationist;High;gary_johnson;x
87829;Head of Government;Gary Johnson;2012;2050;2050;ML;Naive Optimist;High;gary_johnson;x
87830;Head of State;Herman Cain;2012;2050;2050;ML;Weary Stiffneck;High;herman_cain;x
87831;Head of Government;Herman Cain;2012;2050;2050;ML;Corporate Suit;High;herman_cain;x
87832;Head of State;Michele Bachmann;2012;2050;2050;SC;Autocratic Charmer;High;michele_bachman;x
87833;Head of Government;Michele Bachmann;2012;2050;2050;SC;Happy Amateur;High;michele_bachman;x
87834;Head of State;Rick Santorum;2012;2050;2050;SC;Die-hard Reformer;High;rick_santorum;x
87835;Head of Government;Rick Santorum;2012;2050;2050;SC;Backroom Backstabber;High;rick_santorum;x
87836;Head of State;Jill Stein;2012;2050;2050;LWR;Pig-headed Isolationist;Medium;jill_stein;x
87837;Head of Government;Jill Stein;2012;2050;2050;LWR;Happy Amateur;Medium;jill_stein;x
87838;Head of State;Virgil Goode;2012;2050;2050;SC;Pig-headed Isolationist;High;virgil_goode;x
87839;Head of Government;Virgil Goode;2012;2050;2050;SC;Backroom Backstabber;High;virgil_goode;x
87840;Head of State;Chris Christie;2016;2050;2050;ML;Benevolent Gentleman;High;Chris_Christie;x
87841;Head of Government;Chris Christie;2016;2050;2050;ML;Flamboyant Tough Guy;High;Chris_Christie;x
87842;Head of State;Rand Paul;2016;2050;2050;ML;Pig-headed Isolationist;Medium;Rand_Paul;x
87843;Head of Government;Rand Paul;2016;2050;2050;ML;Naive Optimist;Medium;Rand_Paul;x
87844;Head of State;Paul Ryan;2016;2050;2050;SC;Benevolent Gentleman;High;Paul_Ryan;x
87845;Head of Government;Paul Ryan;2016;2050;2050;SC;Backroom Backstabber;High;Paul_Ryan;x
87846;Head of State;Bob McDonnell;2016;2050;2050;ML;Stern Imperialist;High;Bob_McDonnell;x
87847;Head of Government;Bob McDonnell;2016;2050;2050;ML;Backroom Backstabber;High;Bob_McDonnell;x
87848;Head of State;Marco Rubio;2016;2050;2050;SC;Die-hard Reformer;High;Marco_Rubio;x
87849;Head of Government;Marco Rubio;2016;2050;2050;SC;Happy Amateur;High;Marco_Rubio;x
87850;Head of State;Andrew Cuomo;2016;2050;2050;SL;Die-hard Reformer;High;Andrew_Cuomo;x
87851;Head of Government;Andrew Cuomo;2016;2050;2050;SL;Happy Amateur;High;Andrew_Cuomo;x
87852;Head of State;Deval Patrick;2016;2050;2050;SD;Popular Figurehead;Medium;Deval_Patrick;x
87853;Head of Government;Deval Patrick;2016;2050;2050;SD;Flamboyant Tough Guy;Medium;Deval_Patrick;x
87854;Head of State;Mark Warner;2016;2050;2050;SL;Die-hard Reformer;High;Mark_Warner;x
87855;Head of Government;Mark Warner;2016;2050;2050;SL;Backroom Backstabber;High;Mark_Warner;x
87856;Head of State;Martin O'Malley;2016;2050;2050;SD;Barking Buffoon;High;Martin_O'Malley;x
87857;Head of Government;Martin O'Malley;2016;2050;2050;SD;Political Protege;High;Martin_O'Malley;x
87858;Head of State;John Hickenlooper;2016;2050;2050;SL;Stern Imperialist;High;John_Hickenlooper;x
87859;Head of Government;John Hickenlooper;2016;2050;2050;SL;Happy Amateur;High;John_Hickenlooper;x
